Title,Questions,Option-1,Option-2,Option-3
Ukraine in the EU,Ukraine should become a member of the EU.,Agree,Neutral,Disagree
Minimum wage,The EU should require all member states to introduce a nationally defined minimum wage.,Agree,Neutral,Disagree
Asylum application at border,Asylum seekers must submit their application at the EU's external borders and await the outcome there.,Agree,Neutral,Disagree
EU common army,The EU should have a common army.,Agree,Neutral,Disagree
Facial recognition ban,The EU should ban the use of automated facial recognition by law enforcement.,Agree,Neutral,Disagree
Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Neutral,Disagree
Eurobonds,The EU should be able to financially support member states with high levels of debt through Eurobonds.,Agree,Neutral,Disagree
Nuclear energy,The EU should continue to recognize nuclear energy as a sustainable energy source.,Agree,Neutral,Disagree
Pesticides,The EU should completely ban pesticides containing glyphosate.,Agree,Neutral,Disagree
CO2 tax,Companies should pay more for their CO2 emissions.,Agree,Neutral,Disagree
EU laws and values,The EU should continue to freeze its funding to member states that violate EU laws and values.,Agree,Neutral,Disagree
GMOs,The EU should allow the cultivation of a greater number of genetically modified crops (GMOs).,Agree,Neutral,Disagree
Intensive livestock farming,The EU should stop providing financial support for intensive livestock farming.,Agree,Neutral,Disagree
Weapons for Ukraine,The EU should finance more weapons for Ukraine.,Agree,Neutral,Disagree
Weapons to Israel,All EU member states should cease arms sales to Israel until the conflict is resolved.,Agree,Neutral,Disagree
Development aid and asylum,The EU should limit development aid to countries that do not take back rejected asylum seekers.,Agree,Neutral,Disagree
Permanent border controls,Permanent border controls should be reinstated between all EU member states.,Agree,Neutral,Disagree
Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Neutral,Disagree
Unanimity in the European Council,Unanimity in the European Council should no longer be mandatory in the decision-making process.,Agree,Neutral,Disagree
Environmental impact label,All food products sold in the EU should be labeled with an environmental impact label.,Agree,Neutral,Disagree
Erasmus+ scholarships,Students with fewer resources should be able to obtain a higher Erasmus+ scholarship than students with more resources.,Agree,Neutral,Disagree
Legalization of cannabis,The EU should facilitate the legalization of cannabis for recreational use among its member states.,Agree,Neutral,Disagree
Cultivated meat,The EU should ban the production and sale of cell-based cultivated meat.,Agree,Neutral,Disagree
Solar panels on new buildings,The installation of photovoltaic systems should become mandatory for the construction of new residential buildings in the EU.,Agree,Neutral,Disagree
Combustion engines,Vehicles with combustion engines should continue to be registered in the EU even after 2035.,Agree,Neutral,Disagree
Aid to UNRWA,The EU should discontinue funding the United Nations Relief and Works Agency for Palestine Refugees (UNRWA).,Agree,Neutral,Disagree
Sanctions on Russia,EU sanctions against Russia should be lifted.,Agree,Neutral,Disagree
Disarmament policies,The EU's foreign policy should prioritize disarmament.,Agree,Neutral,Disagree
Access to abortion rights,The EU should work to ensure that abortion can be performed freely and easily in all member states.,Agree,Neutral,Disagree
Same-sex marriage,Same-sex marriages performed in the EU should be recognized in all member states.,Agree,Neutral,Disagree
